loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,dti,delinq_2yrs,revol_util,total_acc,purpose,age,default
6245, 36 months,11.43,B,4 years,OTHER,58124,14.14,0,31.99,8,small_business,61,1
26274, 36 months,22.08,C,2 years,OWN,145671,17.72,0,16.59,3,debt_consolidation,23,0
24223, 36 months,22.87,B,4 years,OTHER,37263,17.93,0,75.29,28,debt_consolidation,67,1
32365, 36 months,23.28,B,8 years,MORTGAGE,88204,20.86,1,89.83,20,major_purchase,38,0
26321, 36 months,10.86,B,7 years,RENT,72298,6.3,0,35.23,20,debt_consolidation,65,1
13465, 36 months,7.41,D,< 1 year,RENT,125369,14.31,0,28.65,20,credit_card,40,0
33895, 36 months,13.8,F,8 years,RENT,76602,22.45,0,37.34,42,debt_consolidation,31,0
14968, 36 months,10.92,B,2 years,OWN,83035,12.01,0,92.48,7,major_purchase,26,1
12078, 36 months,22.68,A,2 years,OWN,80172,22.11,0,58.36,28,major_purchase,64,1
31788, 36 months,5.73,B,5 years,OWN,33250,15.87,0,16.59,35,debt_consolidation,22,0
13595, 36 months,17.68,B,2 years,OWN,38934,18.62,0,63.25,35,debt_consolidation,55,1
3595, 36 months,23.12,G,10+ years,RENT,56730,25.36,0,40.13,6,debt_consolidation,53,1
16964, 60 months,24.53,C,1 year,RENT,93721,12.95,0,1.74,17,debt_consolidation,33,0
28053, 36 months,18.0,D,1 year,RENT,71993,1.93,0,96.99,43,debt_consolidation,61,1
7442, 36 months,24.0,F,8 years,OTHER,58798,12.6,0,11.49,34,debt_consolidation,41,0
16739, 36 months,6.51,C,3 years,RENT,106166,7.57,0,41.35,41,debt_consolidation,63,0
5417, 60 months,12.19,A,7 years,RENT,8000,0.0,0,65.76,33,home_improvement,39,0
24340, 36 months,5.17,C,7 years,RENT,26125,14.04,0,58.6,5,debt_consolidation,63,0
17173, 36 months,24.62,B,2 years,OTHER,8000,16.79,1,0.42,44,debt_consolidation,44,0
12226, 36 months,23.05,B,6 years,RENT,101249,24.19,0,60.79,38,credit_card,45,0
8714, 60 months,5.56,G,5 years,OWN,62098,4.75,0,72.73,30,credit_card,66,0
20192, 36 months,5.36,B,1 year,RENT,93989,15.8,1,84.93,3,debt_consolidation,26,1
23773, 60 months,12.34,C,8 years,RENT,61722,25.15,0,18.39,41,debt_consolidation,43,0
32970, 36 months,10.17,A,9 years,MORTGAGE,95696,9.83,1,3.68,40,debt_consolidation,23,0
15863, 60 months,21.94,A,10+ years,OWN,61197,19.83,1,94.44,39,major_purchase,23,0
6463, 36 months,8.21,C,< 1 year,OWN,77297,29.38,2,68.04,15,debt_consolidation,28,1
29311, 36 months,20.81,D,1 year,RENT,72905,0.0,0,45.5,41,debt_consolidation,60,0
22411, 36 months,16.09,D,9 years,OTHER,75131,17.45,0,72.51,3,small_business,63,0
24809, 36 months,12.55,B,3 years,OWN,115542,25.47,0,15.71,27,debt_consolidation,63,1
4305, 36 months,7.91,A,6 years,OTHER,16267,11.84,0,95.84,35,home_improvement,74,0
11620, 36 months,24.95,C,3 years,RENT,62948,27.48,0,65.42,12,credit_card,51,0
27106, 36 months,17.36,C,2 years,RENT,70940,20.71,0,87.7,43,debt_consolidation,31,1
29296, 36 months,13.79,D,6 years,RENT,66449,30.92,0,55.67,27,small_business,46,1
15797, 36 months,12.42,D,2 years,MORTGAGE,53063,20.24,0,80.08,9,debt_consolidation,50,0
28361, 60 months,23.11,E,1 year,MORTGAGE,48959,31.67,1,32.77,41,home_improvement,62,1
29617, 36 months,21.42,E,5 years,OWN,110900,17.7,0,13.31,8,debt_consolidation,46,0
14174, 36 months,21.22,B,2 years,RENT,62878,2.69,0,35.38,43,debt_consolidation,22,1
31534, 36 months,17.32,D,2 years,RENT,138138,9.32,0,89.69,44,debt_consolidation,66,0
10803, 60 months,22.76,D,8 years,RENT,80848,24.17,0,69.81,42,debt_consolidation,52,0
9144, 36 months,10.99,F,5 years,MORTGAGE,56310,23.99,0,45.62,16,debt_consolidation,26,1
24204, 36 months,19.07,B,5 years,RENT,81580,12.2,0,23.52,21,debt_consolidation,72,1
22649, 60 months,13.09,D,1 year,RENT,68268,31.24,0,59.8,34,debt_consolidation,45,1
5751, 60 months,17.0,B,1 year,RENT,105260,11.81,1,59.29,36,debt_consolidation,63,0
29313, 36 months,24.96,D,4 years,RENT,29968,19.16,0,53.09,11,debt_consolidation,60,1
7796, 36 months,24.69,F,4 years,OTHER,10964,18.91,2,73.78,23,credit_card,35,1
28366, 36 months,15.25,F,4 years,RENT,75829,3.03,0,24.28,19,credit_card,69,0
1250, 36 months,16.48,A,1 year,MORTGAGE,90071,14.01,0,51.1,32,credit_card,70,1
28092, 36 months,22.95,A,9 years,OWN,73577,36.42,0,30.84,35,credit_card,71,1
27755, 36 months,24.71,D,3 years,OWN,85174,6.7,0,20.56,21,debt_consolidation,31,1
27532, 36 months,20.57,D,8 years,OWN,80763,20.63,0,33.28,40,debt_consolidation,28,0
23604, 36 months,6.3,F,4 years,OWN,20588,4.61,0,80.29,15,credit_card,50,0
17033, 36 months,11.45,B,5 years,OWN,73437,6.61,0,11.39,34,debt_consolidation,34,0
24975, 36 months,22.93,E,1 year,RENT,104503,2.27,1,27.55,21,credit_card,54,0
10422, 60 months,20.37,D,7 years,MORTGAGE,70153,23.47,1,53.3,7,debt_consolidation,57,0
27544, 60 months,19.84,A,< 1 year,RENT,25701,7.16,1,40.1,15,debt_consolidation,22,0
19891, 36 months,18.36,A,8 years,RENT,54984,26.41,0,82.77,38,debt_consolidation,62,1
16603, 36 months,13.31,D,9 years,RENT,81703,10.22,0,77.92,20,credit_card,27,1
18190, 36 months,13.06,A,3 years,OWN,118869,16.15,0,67.79,36,major_purchase,51,1
20337, 36 months,21.18,E,9 years,RENT,8000,18.7,0,28.25,31,debt_consolidation,50,0
2266, 36 months,10.88,C,7 years,RENT,75837,0.45,0,2.12,20,credit_card,22,1
5753, 60 months,18.7,C,< 1 year,RENT,37034,16.83,0,31.39,11,credit_card,30,0
9346, 60 months,19.52,B,2 years,RENT,80232,18.15,1,60.1,33,major_purchase,50,1
4894, 60 months,21.89,G,7 years,RENT,82635,25.26,0,10.14,31,home_improvement,43,1
15946, 60 months,11.4,D,7 years,MORTGAGE,58006,6.36,1,82.36,16,debt_consolidation,46,0
23725, 60 months,19.84,D,1 year,RENT,83948,7.65,0,98.66,6,debt_consolidation,59,0
23250, 36 months,7.13,D,7 years,OTHER,99197,20.94,0,73.76,19,major_purchase,58,0
17017, 60 months,7.76,C,8 years,OWN,60063,27.71,0,41.46,3,debt_consolidation,54,0
30072, 36 months,13.35,F,1 year,MORTGAGE,24885,9.67,0,79.72,35,debt_consolidation,60,1
20218, 36 months,6.1,C,9 years,MORTGAGE,107767,3.88,0,27.26,12,credit_card,68,1
3692, 36 months,23.95,C,5 years,RENT,89861,12.15,1,95.41,19,debt_consolidation,32,0
27009, 36 months,23.04,B,6 years,OWN,81913,5.88,0,36.66,11,home_improvement,70,1
20536, 36 months,5.98,B,< 1 year,RENT,44271,18.58,0,68.99,41,debt_consolidation,46,1
22580, 36 months,21.77,D,6 years,RENT,94563,5.28,1,1.89,37,home_improvement,71,1
20222, 36 months,15.18,B,4 years,RENT,126273,23.76,0,63.07,42,credit_card,55,0
19821, 36 months,19.04,D,4 years,OWN,61361,16.91,0,29.6,34,debt_consolidation,42,1
4079, 60 months,22.74,F,8 years,MORTGAGE,67835,24.04,0,10.21,8,other,23,1
20013, 36 months,16.54,B,2 years,RENT,33044,0.0,0,43.35,30,debt_consolidation,27,1
28027, 36 months,7.33,A,< 1 year,MORTGAGE,43414,0.0,0,10.59,22,credit_card,54,0
11334, 36 months,5.05,D,5 years,RENT,32763,26.63,0,18.51,32,debt_consolidation,57,1
21496, 36 months,14.94,A,8 years,RENT,68925,8.52,0,89.51,32,debt_consolidation,28,0
2047, 36 months,23.98,E,1 year,RENT,54777,1.8,0,6.35,30,credit_card,70,1
12814, 60 months,16.45,C,10+ years,OWN,76184,13.18,0,62.5,29,credit_card,38,0
15848, 36 months,12.46,C,7 years,OWN,38243,17.18,0,6.03,37,small_business,62,1
34413, 36 months,5.62,C,10+ years,RENT,59973,13.58,1,71.8,39,credit_card,62,0
8295, 36 months,23.3,C,5 years,RENT,36394,19.21,0,97.79,25,debt_consolidation,58,1
10402, 36 months,11.54,B,1 year,OWN,70627,17.99,0,42.95,3,home_improvement,70,0
14889, 60 months,19.1,B,1 year,MORTGAGE,16030,17.52,0,96.82,3,major_purchase,64,0
34750, 36 months,18.88,B,5 years,RENT,69547,27.14,0,64.15,4,small_business,29,1
30015, 60 months,10.08,E,6 years,MORTGAGE,56638,14.87,0,59.55,39,major_purchase,43,1
2179, 36 months,6.28,A,8 years,OWN,70429,14.61,1,17.12,22,credit_card,51,0
8953, 36 months,12.7,B,8 years,OWN,15432,22.23,0,95.24,22,credit_card,48,0
28936, 36 months,11.34,A,8 years,RENT,84641,19.97,0,86.15,14,credit_card,49,0
2982, 60 months,19.01,B,6 years,MORTGAGE,56038,6.87,0,13.18,41,debt_consolidation,31,0
30092, 60 months,21.4,A,< 1 year,OWN,71513,14.17,0,2.86,13,home_improvement,73,1
10567, 36 months,9.45,D,5 years,RENT,8898,18.94,3,35.91,40,debt_consolidation,57,1
32200, 60 months,15.56,A,9 years,MORTGAGE,27718,9.72,0,15.94,31,debt_consolidation,64,0
10982, 36 months,5.81,D,9 years,MORTGAGE,53295,10.15,0,33.62,19,debt_consolidation,39,1
15766, 36 months,9.29,B,9 years,MORTGAGE,106265,2.48,0,95.85,30,debt_consolidation,56,0
23505, 60 months,20.24,C,< 1 year,MORTGAGE,80818,0.0,0,86.19,42,credit_card,35,1
5293, 36 months,20.87,A,4 years,RENT,68896,11.63,0,44.01,5,debt_consolidation,52,1
19939, 36 months,20.53,D,6 years,MORTGAGE,37271,16.15,0,27.58,5,debt_consolidation,34,0
18170, 36 months,7.85,F,2 years,RENT,31812,5.14,1,57.78,10,debt_consolidation,71,0
27652, 36 months,16.02,A,4 years,MORTGAGE,73300,27.4,1,93.75,30,credit_card,48,1
34867, 60 months,13.45,F,1 year,RENT,86021,5.58,1,79.07,25,debt_consolidation,47,1
23586, 36 months,24.83,B,2 years,RENT,71269,23.21,0,86.78,31,debt_consolidation,50,1
14912, 36 months,18.08,C,< 1 year,RENT,116287,18.77,0,76.11,19,debt_consolidation,33,1
14817, 36 months,23.7,D,10+ years,MORTGAGE,44526,34.59,0,50.37,38,other,65,1
15210, 36 months,7.91,A,9 years,OWN,70381,19.86,0,14.15,22,debt_consolidation,36,0
28676, 60 months,14.02,B,4 years,MORTGAGE,14205,1.98,1,81.86,22,major_purchase,70,0
11921, 60 months,20.43,A,< 1 year,RENT,71331,24.49,1,65.1,23,debt_consolidation,66,0
6677, 36 months,12.36,D,3 years,RENT,109081,30.28,0,77.27,13,debt_consolidation,37,1
12365, 36 months,17.65,B,4 years,OWN,33755,0.0,1,73.4,43,major_purchase,50,0
1772, 36 months,15.23,E,1 year,RENT,90264,20.75,1,24.61,4,credit_card,38,1
4608, 36 months,24.84,B,7 years,OWN,108231,22.74,0,28.57,4,debt_consolidation,28,0
4061, 36 months,8.48,F,10+ years,OTHER,44309,13.08,0,85.64,22,debt_consolidation,36,0
27232, 36 months,23.71,A,9 years,OWN,79008,0.0,0,40.73,31,debt_consolidation,67,0
25560, 36 months,13.03,C,9 years,RENT,112389,12.34,0,17.77,22,debt_consolidation,37,0
24690, 36 months,14.36,B,9 years,OWN,71914,9.77,0,64.27,36,debt_consolidation,71,0
16703, 36 months,15.57,A,< 1 year,MORTGAGE,88601,28.77,0,29.83,17,debt_consolidation,60,1
25379, 36 months,10.31,A,6 years,OWN,11782,14.2,0,64.27,12,debt_consolidation,45,1
6483, 60 months,24.27,D,6 years,MORTGAGE,82914,11.29,2,59.01,29,debt_consolidation,54,0
31621, 36 months,23.23,A,1 year,RENT,80517,9.72,0,66.31,13,home_improvement,68,1
18035, 36 months,24.46,C,1 year,MORTGAGE,25214,17.93,0,99.34,25,debt_consolidation,25,0
32893, 60 months,24.94,G,6 years,RENT,36070,15.51,0,27.73,29,debt_consolidation,64,0
6178, 60 months,18.4,B,7 years,MORTGAGE,83120,7.89,0,97.56,7,debt_consolidation,51,1
17909, 36 months,14.03,A,2 years,MORTGAGE,55919,17.38,1,76.35,12,other,73,1
24674, 36 months,22.01,A,5 years,MORTGAGE,98358,9.98,0,85.54,5,debt_consolidation,66,1
17851, 36 months,5.48,A,< 1 year,RENT,74322,0.0,0,80.25,11,debt_consolidation,69,1
16169, 36 months,21.69,C,1 year,MORTGAGE,66694,21.01,1,2.3,40,small_business,24,1
6651, 36 months,14.95,D,6 years,RENT,59887,20.16,0,50.37,3,debt_consolidation,45,1
13954, 36 months,18.46,B,6 years,OWN,73780,16.8,0,10.58,34,debt_consolidation,69,0
9118, 36 months,12.48,A,8 years,OWN,89088,11.02,0,67.35,10,credit_card,35,1
11251, 36 months,12.37,D,10+ years,OWN,81016,14.35,0,5.96,22,debt_consolidation,34,0
24245, 60 months,5.63,B,2 years,RENT,52310,22.37,0,3.32,3,debt_consolidation,57,0
22429, 36 months,13.48,C,3 years,OWN,102183,9.31,0,90.67,23,debt_consolidation,38,0
21644, 60 months,13.17,F,9 years,OWN,84731,22.74,0,91.71,42,other,52,0
13301, 60 months,9.5,B,< 1 year,OWN,76557,1.73,1,62.38,7,other,42,0
33629, 60 months,9.95,C,9 years,OWN,67751,16.51,1,45.99,16,credit_card,45,1
3980, 36 months,16.68,E,10+ years,MORTGAGE,80001,15.23,1,82.85,14,debt_consolidation,28,1
12648, 60 months,11.36,D,1 year,RENT,10050,24.02,0,96.42,32,debt_consolidation,66,0
5012, 36 months,21.61,D,1 year,RENT,72239,6.73,0,5.43,37,small_business,26,0
12524, 36 months,7.23,D,7 years,OWN,114205,7.71,0,10.35,14,credit_card,30,0
33704, 60 months,16.55,C,5 years,MORTGAGE,71600,2.45,1,90.51,8,debt_consolidation,33,1
13452, 36 months,8.2,C,10+ years,RENT,67504,9.9,0,9.94,40,other,35,0
31891, 36 months,15.56,D,5 years,RENT,47123,17.3,0,71.42,7,major_purchase,21,0
17832, 36 months,16.05,D,7 years,MORTGAGE,79782,0.0,1,55.35,39,debt_consolidation,72,1
24790, 60 months,17.85,D,2 years,MORTGAGE,59148,11.01,1,52.16,26,credit_card,52,0
16552, 36 months,13.55,B,3 years,OWN,104279,20.5,1,9.76,35,home_improvement,47,1
10039, 36 months,15.19,E,1 year,MORTGAGE,39091,14.07,0,72.87,38,debt_consolidation,28,0
26983, 60 months,8.62,A,1 year,OTHER,51431,15.68,0,60.2,32,major_purchase,55,0
33951, 36 months,14.26,A,1 year,OWN,46974,1.45,1,92.88,18,debt_consolidation,26,0
9959, 36 months,12.46,B,9 years,RENT,120037,14.1,0,48.1,16,debt_consolidation,35,0
27477, 36 months,18.32,B,< 1 year,OWN,59307,15.26,0,91.24,30,small_business,51,0
9878, 60 months,13.7,D,5 years,MORTGAGE,48558,13.53,0,18.39,24,small_business,74,1
25374, 36 months,20.59,A,5 years,OWN,8000,16.38,0,20.39,40,debt_consolidation,53,0
27826, 36 months,13.52,D,< 1 year,RENT,37659,12.22,0,94.9,35,home_improvement,46,0
16278, 36 months,9.72,C,9 years,MORTGAGE,80837,10.9,1,9.94,40,credit_card,56,1
26055, 60 months,10.47,A,5 years,MORTGAGE,80716,5.64,0,23.65,19,home_improvement,60,0
10256, 36 months,5.91,B,1 year,RENT,45464,23.77,0,14.14,22,debt_consolidation,48,1
3694, 36 months,15.8,C,1 year,OTHER,47130,3.96,0,70.97,40,other,39,0
4277, 60 months,21.62,D,7 years,MORTGAGE,120796,16.42,0,78.02,15,credit_card,68,1
16198, 36 months,20.38,B,6 years,MORTGAGE,145891,31.32,0,90.15,37,credit_card,37,0
31688, 36 months,13.76,A,4 years,MORTGAGE,99493,24.91,0,14.68,27,debt_consolidation,27,1
5337, 36 months,8.92,B,4 years,RENT,111778,19.58,0,32.17,20,debt_consolidation,36,0
16496, 60 months,22.27,A,< 1 year,MORTGAGE,118143,17.25,0,31.72,41,debt_consolidation,63,0
24937, 36 months,6.14,A,< 1 year,RENT,131437,13.85,0,97.35,14,debt_consolidation,25,1
7880, 36 months,12.98,G,5 years,MORTGAGE,55942,6.89,0,58.29,31,major_purchase,43,1
25534, 36 months,22.13,A,4 years,MORTGAGE,38652,12.72,0,33.75,17,debt_consolidation,23,1
11402, 36 months,12.86,A,2 years,MORTGAGE,120005,20.17,0,29.87,43,debt_consolidation,69,0
28494, 36 months,7.36,E,4 years,MORTGAGE,36071,18.51,2,31.9,25,debt_consolidation,38,1
20693, 36 months,10.32,D,6 years,MORTGAGE,34142,22.1,0,71.22,27,credit_card,33,0
19594, 36 months,17.0,B,3 years,RENT,34831,25.98,0,54.93,16,debt_consolidation,58,1
7010, 60 months,8.04,D,3 years,RENT,61058,13.57,0,62.36,3,home_improvement,72,1
16749, 36 months,18.1,F,3 years,RENT,8000,16.73,0,47.05,44,debt_consolidation,23,1
30124, 36 months,13.76,A,7 years,MORTGAGE,22007,0.0,1,2.63,21,debt_consolidation,67,1
1663, 36 months,11.69,A,< 1 year,OWN,46330,35.31,0,68.71,30,debt_consolidation,42,1
26789, 36 months,9.82,E,10+ years,OWN,29122,11.28,0,72.41,40,debt_consolidation,30,0
17753, 36 months,21.47,E,6 years,RENT,96872,20.87,0,18.02,17,credit_card,24,1
25461, 36 months,12.93,G,2 years,OWN,65199,11.27,0,64.94,4,credit_card,44,0
23552, 36 months,19.77,B,8 years,OWN,82311,11.06,1,87.75,35,debt_consolidation,34,1
15691, 36 months,13.81,F,10+ years,OTHER,79026,12.87,0,60.28,28,credit_card,34,1
11494, 36 months,6.84,B,< 1 year,MORTGAGE,58797,3.79,0,66.85,30,small_business,31,0
22328, 36 months,13.81,D,2 years,OWN,94644,0.0,1,70.07,18,credit_card,28,0
5767, 36 months,15.15,E,1 year,MORTGAGE,78564,25.44,0,32.43,41,credit_card,63,0
20859, 60 months,14.16,A,< 1 year,RENT,55448,19.91,2,15.43,19,debt_consolidation,41,0
4219, 36 months,21.32,A,8 years,RENT,14483,6.76,1,47.27,4,debt_consolidation,64,0
23094, 36 months,23.22,C,2 years,OWN,80620,19.07,0,23.18,26,debt_consolidation,49,1
22377, 36 months,20.74,E,4 years,MORTGAGE,27161,22.42,0,68.7,35,debt_consolidation,25,1
3871, 36 months,16.66,A,8 years,RENT,76408,8.76,0,71.49,20,debt_consolidation,42,0
26754, 36 months,15.83,E,6 years,RENT,67367,18.71,1,0.82,22,debt_consolidation,25,1
15137, 36 months,17.89,B,7 years,OWN,24189,24.06,0,95.42,41,debt_consolidation,38,1
27754, 36 months,10.76,B,1 year,RENT,72752,2.05,0,92.5,27,debt_consolidation,65,1
2414, 36 months,21.24,B,10+ years,RENT,70740,19.8,0,13.19,15,home_improvement,38,0
7101, 36 months,22.14,F,< 1 year,OWN,70848,18.28,2,47.78,18,debt_consolidation,33,1
17795, 36 months,10.34,A,7 years,MORTGAGE,69410,31.92,0,20.9,34,debt_consolidation,29,1
7399, 60 months,23.06,C,7 years,RENT,45428,20.01,0,96.39,34,debt_consolidation,28,1
12215, 36 months,21.97,A,4 years,RENT,82748,11.3,1,56.6,6,debt_consolidation,33,0
23460, 60 months,13.49,F,9 years,RENT,44370,12.34,0,70.02,35,debt_consolidation,70,1
5913, 36 months,23.18,E,9 years,RENT,32762,33.21,0,97.79,16,debt_consolidation,49,0
24041, 60 months,7.41,A,< 1 year,MORTGAGE,85239,11.81,1,67.3,8,debt_consolidation,63,1
4515, 36 months,5.56,B,10+ years,RENT,93093,20.28,1,87.08,9,debt_consolidation,29,0
6956, 36 months,11.96,B,2 years,RENT,83186,12.85,0,24.06,40,credit_card,53,0
20979, 36 months,16.31,B,8 years,MORTGAGE,58784,24.73,0,22.94,12,debt_consolidation,65,1
27978, 36 months,12.03,E,9 years,MORTGAGE,8000,25.18,1,44.12,24,other,62,0
6800, 60 months,23.84,C,6 years,RENT,109451,14.8,1,88.15,26,debt_consolidation,60,0
11199, 36 months,10.09,B,9 years,RENT,8000,11.34,1,3.91,23,debt_consolidation,61,1
32454, 36 months,10.62,D,9 years,MORTGAGE,82582,11.12,0,44.14,17,debt_consolidation,74,0
34649, 36 months,17.7,C,5 years,OWN,128307,0.0,0,82.49,4,major_purchase,41,0
20756, 60 months,5.08,A,1 year,MORTGAGE,69484,15.91,1,17.75,5,debt_consolidation,38,0
16199, 36 months,19.55,A,4 years,RENT,73737,15.72,0,61.57,23,debt_consolidation,26,1
12793, 36 months,12.55,B,9 years,MORTGAGE,76380,7.65,0,7.0,39,debt_consolidation,30,0
21823, 60 months,24.55,C,2 years,RENT,70945,0.0,1,1.04,38,major_purchase,42,1
21091, 60 months,18.83,A,10+ years,RENT,135518,16.86,0,31.89,31,debt_consolidation,25,0
11021, 36 months,6.04,C,1 year,MORTGAGE,39705,17.99,0,80.56,14,debt_consolidation,61,1
1775, 36 months,6.85,B,7 years,MORTGAGE,35938,18.55,0,4.13,43,debt_consolidation,39,0
6150, 60 months,6.76,D,7 years,RENT,55175,6.09,0,36.48,19,credit_card,38,0
33591, 36 months,24.05,A,2 years,RENT,117225,18.57,1,72.86,36,debt_consolidation,70,1
15217, 36 months,18.68,C,5 years,MORTGAGE,47694,13.39,0,36.91,8,debt_consolidation,24,0
17398, 36 months,13.55,A,1 year,RENT,77909,22.78,0,47.88,26,debt_consolidation,52,1
16881, 36 months,9.01,B,4 years,RENT,97130,6.23,0,50.03,12,debt_consolidation,53,0
27612, 36 months,22.47,A,10+ years,RENT,88370,25.35,2,90.8,22,debt_consolidation,72,1
3208, 36 months,9.03,C,< 1 year,RENT,95542,28.59,1,87.59,35,major_purchase,43,0
3812, 36 months,19.13,D,9 years,MORTGAGE,107540,16.04,2,6.36,42,debt_consolidation,70,0
10378, 36 months,20.27,A,7 years,RENT,74247,18.63,1,69.22,5,debt_consolidation,57,1
